27715, the Ville, <all>, bed
27725, the Ville, <all>, desk
27735, the Ville, <all>, closet
27745, the Ville, <all>, shelf
27755, the Ville, <all>, easel
27765, the Ville, <all>, bathroom sink
27696, the Ville, <all>, shower
27706, the Ville, <all>, toilet
27716, the Ville, <all>, kitchen sink
27726, the Ville, <all>, refrigerator
27736, the Ville, <all>, toaster
27746, the Ville, <all>, cooking area
27756, the Ville, <all>, common room table
27766, the Ville, <all>, common room sofa
27697, the Ville, <all>, guitar
27707, the Ville, <all>, microphone
27717, the Ville, <all>, bar customer seating
27727, the Ville, <all>, behind the bar counter
27737, the Ville, <all>, behind the cafe counter
27747, the Ville, <all>, cafe customer seating
27757, the Ville, <all>, piano
27767, the Ville, <all>, blackboard
27698, the Ville, <all>, game console
27708, the Ville, <all>, computer desk
27718, the Ville, <all>, computer
27728, the Ville, <all>, library sofa
27738, the Ville, <all>, bookshelf
27748, the Ville, <all>, library table
27758, the Ville, <all>, classroom student seating
27768, the Ville, <all>, classroom podium
27699, the Ville, <all>, behind the pharmacy counter
27709, the Ville, <all>, behind the grocery counter
27719, the Ville, <all>, pharmacy store shelf
27729, the Ville, <all>, grocery store shelf
27739, the Ville, <all>, pharmacy store counter
27749, the Ville, <all>, grocery store counter
27759, the Ville, <all>, supply store product shelf
27769, the Ville, <all>, behind the supply store counter
27700, the Ville, <all>, supply store counter
27710, the Ville, <all>, dorm garden
27720, the Ville, <all>, house garden
27730, the Ville, <all>, garden chair
27740, the Ville, <all>, park garden
27750, the Ville, <all>, harp
27760, the Ville, <all>, lifting weight
27770, the Ville, <all>, pool table