27773, the Ville, artist's co-living space, Latoya Williams's room, sp-A
27783, the Ville, artist's co-living space, Rajiv Patel's room, sp-A
27793, the Ville, artist's co-living space, Rajiv Patel's room, sp-B
27803, the Ville, artist's co-living space, Abigail Chen's room, sp-A
27774, the Ville, artist's co-living space, Francisco Lopez's room, sp-A
27784, the Ville, artist's co-living space, Hailey Johnson's room, sp-A
27794, the Ville, Arthur Burton's house, main room, sp-A
27804, the Ville, Arthur Burton's house, main room, sp-B
27775, the Ville, Ryan Park's house, main room, sp-A
27785, the Ville, Ryan Park's house, main room, sp-B
27795, the Ville, Isabella Rodriguez's house, main room, sp-A
27805, the Ville, Isabella Rodriguez's house, main room, sp-B
27776, the Ville, Giorgio Rossi's house, main room, sp-A
27786, the Ville, Giorgio Rossi's house, main room, sp-B
27796, the Ville, Carlos Gomez's house, main room, sp-A
27806, the Ville, Carlos Gomez's house, main room, sp-B
27777, the Ville, Adam Smith's house, main room, sp-A
27787, the Ville, Adam Smith's house, main room, sp-B
27797, the Ville, Yuriko Yamamoto's house, main room, sp-A
27807, the Ville, Yuriko Yamamoto's house, main room, sp-B
27778, the Ville, Moore family's house, main room, sp-A
27788, the Ville, Moore family's house, main room, sp-B
27798, the Ville, Tamara Taylor and Carmen Ortiz's house, Tamara Taylor's room, sp-A
27808, the Ville, Tamara Taylor and Carmen Ortiz's house, Tamara Taylor's room, sp-B
27779, the Ville, Tamara Taylor and Carmen Ortiz's house, Carmen Ortiz's room, sp-A
27789, the Ville, Tamara Taylor and Carmen Ortiz's house, Carmen Ortiz's room, sp-B
27799, the Ville, Moreno family's house, Tom and Jane Moreno's bedroom, sp-A
27809, the Ville, Moreno family's house, Tom and Jane Moreno's bedroom, sp-B
27780, the Ville, Moreno family's house, empty bedroom, sp-A
27790, the Ville, Moreno family's house, empty bedroom, sp-B
27800, the Ville, Lin family's house, Mei and John Lin's bedroom, sp-A
27810, the Ville, Lin family's house, Mei and John Lin's bedroom, sp-B
27781, the Ville, Lin family's house, Eddy Lin's bedroom, sp-A
27791, the Ville, Lin family's house, Eddy Lin's bedroom, sp-B
27801, the Ville, Dorm for Oak Hill College, Klaus Mueller's room, sp-A
27811, the Ville, Dorm for Oak Hill College, Klaus Mueller's room, sp-B
27782, the Ville, Dorm for Oak Hill College, Maria Lopez's room, sp-A
27792, the Ville, Dorm for Oak Hill College, Ayesha Khan's room, sp-A
27802, the Ville, Dorm for Oak Hill College, Ayesha Khan's room, sp-B
27812, the Ville, Dorm for Oak Hill College, Wolfgang Schulz's room, sp-A